customer_number,neighbor_avg_dist_km,neighbor_primary_group_count,neighbor_local_market_partners,neighbor_avg_return_freq,neighbor_avg_order_transactions_2023,neighbor_avg_order_transactions_2024,neighbor_avg_order_transaction_std_2023,neighbor_avg_order_transaction_std_2024,neighbor_avg_ordered_total_2023,neighbor_avg_ordered_total_2024
600081094,169.351941713786,0,6,0.6,38.6,27.8,12.2272392417435,17.3142286211995,3381.3,1705.4
600081098,117.16373904096,0,10,0,18.4,15.8,50.1513860744063,65.1215459116812,1134,869.7
600081101,215.092502543381,0,8,0.1,52.8,34.2,34.2508406944503,40.2274277941562,7801.5,2392.4
600081105,80.264245263749,0,8,0,25.4,29.2,9.26325334441445,9.5798752505598,634.7,730.2
600081111,155.313345695987,0,8,0.1,21.4,23.2,9.8343236903813,11.3699681347274,403.6056044,597.6579392
600081112,74.776619090989,0,6,0,28.2,30.2,7.25534597412576,5.72028627620632,608.4000056,557.05
600081117,215.092502543381,0,8,0.1,52.8,34.2,34.2508406944503,40.2274277941562,7801.5,2392.4
600081119,117.16373904096,0,10,0,18.4,15.8,50.1513860744063,65.1215459116812,1134,869.7
600081122,55.5558599019619,0,8,0,24,20.2,42.8340589792331,8.7154960643812,1208.9,717.3
600081132,143.645087297239,0,8,0,15.4,14.6,5.71054451898185,4.79907829846419,175.55,191.4
600081134,52.6300619756763,0,8,0,30.8,24.2,6.58035809295204,8.19868025398803,515.4688832,510.4986638
600081135,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600081152,55.5558599019619,0,8,0,24,20.2,42.8340589792331,8.7154960643812,1208.9,717.3
600081153,300.314409454161,0,8,0.1,29.6,31.4,9.98093436879946,11.4592912864251,615.7056044,762.5579392
600081156,192.924732467895,0,8,0.1,27.2,23.8,7.6268973401222,6.90255238409744,366.6056044,486.0579392
600081166,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600081180,44.0681671869647,0,8,0.1,28.8,25.4,6.26273417726727,6.70159388505543,360.4,335.5
600081194,234.645846350533,0,10,0,13.6,11.8,10.8499160713191,12.8337311984858,290,367
600081195,262.474791454664,0,8,0.1,25.8,28.8,6.06248490651624,5.79343028045967,301.2,324.95
600081197,215.092502543381,0,8,0.1,52.8,34.2,34.2508406944503,40.2274277941562,7801.5,2392.4
600081203,215.092502543381,0,8,0.1,52.8,34.2,34.2508406944503,40.2274277941562,7801.5,2392.4
600081220,180.871281824469,0,10,0,19.6,14.2,11.0056277475197,13.7583631873084,704.3,380.9
600081260,167.272916644953,0,10,0,7.8,7,8.28893861863759,8.31080385609266,127.9,125.7
600081262,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081266,87.4781335377586,0,10,0.1,15.8,12,11.5342986134745,5.32257467799879,192.9,126.1
600081267,193.477310749758,0,8,0,14,11,3.29822607167808,3.82049634399403,113.1,96.4
600081273,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081281,67.0115076701345,0,10,0.1,17.2,14.8,6.29124449595282,5.78080659829266,180.3,151.6
600081287,169.351941713786,0,6,0.6,38.6,27.8,12.2272392417435,17.3142286211995,3381.3,1705.4
600081293,167.272916644953,0,10,0,7.8,7,8.28893861863759,8.31080385609266,127.9,125.7
600081304,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081309,167.272916644953,0,10,0,7.8,7,8.28893861863759,8.31080385609266,127.9,125.7
600081319,82.987232047178,0,10,0.1,20,14.8,6.48396354694551,7.97061897303053,261.7070004,238.7958976
600081320,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081342,202.421501865178,0,10,0,33.4,20,5.74358798402853,6.31531405359958,503.95,348.6
600081344,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081345,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081346,67.0115076701345,0,10,0.1,17.2,14.8,6.29124449595282,5.78080659829266,180.3,151.6
600081357,67.0115076701345,0,5,0.1,17.2,14.8,6.29124449595282,5.78080659829266,180.3,151.6
600081361,82.987232047178,0,10,0.1,20,14.8,6.48396354694551,7.97061897303053,261.7070004,238.7958976
600081363,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081368,167.272916644953,0,10,0,7.8,7,8.28893861863759,8.31080385609266,127.9,125.7
600081377,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081384,167.272916644953,0,10,0,7.8,7,8.28893861863759,8.31080385609266,127.9,125.7
600081385,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081386,67.0115076701345,0,10,0.1,17.2,14.8,6.29124449595282,5.78080659829266,180.3,151.6
600081392,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081397,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081400,223.985074743917,0,6,0,33.2,32.4,9.94166522302754,8.64424354330535,755,853.7
600081405,82.987232047178,0,10,0.1,20,14.8,6.48396354694551,7.97061897303053,261.7070004,238.7958976
600081408,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081411,67.0115076701345,0,10,0.1,17.2,14.8,6.29124449595282,5.78080659829266,180.3,151.6
600081414,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081415,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081417,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081427,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081435,45.9310858467557,0,6,0,24.2,21,46.8193558586966,37.5036579628807,5144.7910464,4240.446532
600081440,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081442,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081457,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081459,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081465,235.994968293461,0,10,0.2,29.8,26.6,9.55620566570053,8.45431051761048,725.286966,647.3580302
600081468,221.477068075527,0,5,0.1,19.4,17.2,17.2852909871318,16.0204494316851,634.5,663.5
600081476,325.593345320756,0,10,0.2,19.8,15.2,7.80557885207903,10.3894583459535,250.3,278.15
600081479,193.434763343219,0,10,0.1,15.4,10.4,11.6003416665519,18.8163420426665,570.4748376,399.8577656
600081482,43.6711114113913,0,10,0,9.8,6.6,6.93908746479165,5.11099744792084,94.2,74.6
600081489,87.5038312715728,0,8,0,18,15.8,5.77335691081994,5.08892698168384,176.85,201.4
600081490,43.6711114113913,0,10,0,9.8,6.6,6.93908746479165,5.11099744792084,94.2,74.6
600081491,325.593345320756,0,10,0.2,19.8,15.2,7.80557885207903,10.3894583459535,250.3,278.15
600081504,52.8167576619816,2,10,0,19.4,18.2,5.98105546106482,5.65159879687302,384.1,357.5
